year,date,cpi_new_vehicles,cpi_all_items
1952,1952-08-01,NA,26.69
1952,1952-09-01,47,26.63
1952,1952-10-01,NA,26.69
1952,1952-11-01,NA,26.69
1952,1952-12-01,47.3,26.71
1953,1953-01-01,47.3,26.64
1953,1953-02-01,47.4,26.59
1953,1953-03-01,47.3,26.63
1953,1953-04-01,47.2,26.69
1953,1953-05-01,47.3,26.7
1953,1953-06-01,47.3,26.77
1953,1953-07-01,47.3,26.79
1953,1953-08-01,47.3,26.85
1953,1953-09-01,47.3,26.89
1953,1953-10-01,47.4,26.95
1953,1953-11-01,47.4,26.85
1953,1953-12-01,46.5,26.87
1954,1954-01-01,48.6,26.94
1954,1954-02-01,47.9,26.99
1954,1954-03-01,47.6,26.93
1954,1954-04-01,47.9,26.86
1954,1954-05-01,48,26.93
1954,1954-06-01,47.7,26.94
1954,1954-07-01,44.6,26.86
1954,1954-08-01,44.5,26.85
1954,1954-09-01,43.9,26.81
1954,1954-10-01,42.6,26.72
1954,1954-11-01,47.7,26.78
1954,1954-12-01,47.1,26.77
1955,1955-01-01,46.6,26.77
1955,1955-02-01,46.3,26.82
1955,1955-03-01,45.8,26.79
1955,1955-04-01,44.2,26.79
1955,1955-05-01,44.2,26.77
1955,1955-06-01,44.6,26.71
1955,1955-07-01,43.8,26.76
1955,1955-08-01,43.1,26.72
1955,1955-09-01,42.2,26.85
1955,1955-10-01,44.4,26.82
1955,1955-11-01,47.3,26.88
1955,1955-12-01,46,26.87
1956,1956-01-01,45.3,26.83
1956,1956-02-01,45.3,26.86
1956,1956-03-01,45.6,26.89
1956,1956-04-01,45,26.93
1956,1956-05-01,45.1,27.03
1956,1956-06-01,45,27.15
1956,1956-07-01,44.8,27.29
1956,1956-08-01,44.8,27.31
1956,1956-09-01,44.4,27.35
1956,1956-10-01,49.1,27.51
1956,1956-11-01,49.7,27.51
1956,1956-12-01,49.6,27.63
1957,1957-01-01,49.3,27.67
1957,1957-02-01,49.1,27.8
1957,1957-03-01,48.7,27.86
1957,1957-04-01,48.7,27.93
1957,1957-05-01,48.3,28
1957,1957-06-01,47.9,28.11
1957,1957-07-01,47.5,28.19
1957,1957-08-01,47.4,28.28
1957,1957-09-01,46.8,28.32
1957,1957-10-01,46.4,28.32
1957,1957-11-01,51.8,28.41
1957,1957-12-01,50.6,28.47
1958,1958-01-01,49.8,28.64
1958,1958-02-01,49.8,28.7
1958,1958-03-01,49.5,28.87
1958,1958-04-01,49.2,28.94
1958,1958-05-01,49,28.94
1958,1958-06-01,49,28.91
1958,1958-07-01,49,28.89
1958,1958-08-01,48.9,28.94
1958,1958-09-01,48.7,28.91
1958,1958-10-01,50.7,28.91
1958,1958-11-01,54,28.95
1958,1958-12-01,53.7,28.97
1959,1959-01-01,52.8,29.01
1959,1959-02-01,52.4,29
1959,1959-03-01,52.4,28.97
1959,1959-04-01,52,28.98
1959,1959-05-01,52,29.04
1959,1959-06-01,51.8,29.11
1959,1959-07-01,51.4,29.15
1959,1959-08-01,51.1,29.18
1959,1959-09-01,50.5,29.25
1959,1959-10-01,52.9,29.35
1959,1959-11-01,54,29.35
1959,1959-12-01,53.6,29.41
1960,1960-01-01,52.9,29.37
1960,1960-02-01,52.5,29.41
1960,1960-03-01,51.8,29.41
1960,1960-04-01,51.8,29.54
1960,1960-05-01,51.6,29.57
1960,1960-06-01,51.1,29.61
1960,1960-07-01,51,29.55
1960,1960-08-01,50.7,29.61
1960,1960-09-01,49.5,29.61
1960,1960-10-01,51.8,29.75
1960,1960-11-01,52.1,29.78
1960,1960-12-01,52,29.81
1961,1961-01-01,52,29.84
1961,1961-02-01,51.6,29.84
1961,1961-03-01,51.7,29.84
1961,1961-04-01,51.5,29.81
1961,1961-05-01,51.3,29.84
1961,1961-06-01,51.2,29.84
1961,1961-07-01,51,29.92
1961,1961-08-01,51,29.94
1961,1961-09-01,50.7,29.98
1961,1961-10-01,52.3,29.98
1961,1961-11-01,52.3,29.98
1961,1961-12-01,52.1,30.01
1962,1962-01-01,52,30.04
1962,1962-02-01,51.5,30.11
1962,1962-03-01,51.5,30.17
1962,1962-04-01,51.4,30.21
1962,1962-05-01,51.2,30.24
1962,1962-06-01,51.1,30.21
1962,1962-07-01,50.9,30.22
1962,1962-08-01,50.8,30.28
1962,1962-09-01,50.5,30.42
1962,1962-10-01,51.6,30.38
1962,1962-11-01,52.2,30.38
1962,1962-12-01,51.6,30.38
1963,1963-01-01,51.4,30.44
1963,1963-02-01,51.2,30.48
1963,1963-03-01,51,30.51
1963,1963-04-01,50.9,30.48
1963,1963-05-01,50.9,30.51
1963,1963-06-01,50.9,30.61
1963,1963-07-01,50.5,30.69
1963,1963-08-01,50.4,30.75
1963,1963-09-01,50.2,30.72
1963,1963-10-01,51.9,30.75
1963,1963-11-01,51.9,30.78
1963,1963-12-01,51.4,30.88
1964,1964-01-01,51.5,30.94
1964,1964-02-01,51.4,30.91
1964,1964-03-01,51.2,30.94
1964,1964-04-01,51.1,30.95
1964,1964-05-01,50.9,30.98
1964,1964-06-01,50.7,31.01
1964,1964-07-01,50.6,31.02
1964,1964-08-01,50.2,31.05
1964,1964-09-01,49.6,31.08
1964,1964-10-01,51,31.12
1964,1964-11-01,51.6,31.21
1964,1964-12-01,51.1,31.25
1965,1965-01-01,51.1,31.28
1965,1965-02-01,50.8,31.28
1965,1965-03-01,50.7,31.31
1965,1965-04-01,50.7,31.38
1965,1965-05-01,50.4,31.48
1965,1965-06-01,49,31.61
1965,1965-07-01,48.9,31.58
1965,1965-08-01,48.9,31.55
1965,1965-09-01,48.6,31.62
1965,1965-10-01,49.2,31.65
1965,1965-11-01,49.6,31.75
1965,1965-12-01,49.6,31.85
1966,1966-01-01,49,31.88
1966,1966-02-01,48.9,32.08
1966,1966-03-01,48.9,32.18
1966,1966-04-01,49,32.28
1966,1966-05-01,48.8,32.35
1966,1966-06-01,48.7,32.38
1966,1966-07-01,48.7,32.45
1966,1966-08-01,48.2,32.65
1966,1966-09-01,47.5,32.75
1966,1966-10-01,49.5,32.85
1966,1966-11-01,49.9,32.88
1966,1966-12-01,49.6,32.92
1967,1967-01-01,49.1,32.9
1967,1967-02-01,49,33
1967,1967-03-01,48.9,33
1967,1967-04-01,48.8,33.1
1967,1967-05-01,48.8,33.1
1967,1967-06-01,48.7,33.3
1967,1967-07-01,48.8,33.4
1967,1967-08-01,48.8,33.5
1967,1967-09-01,48.4,33.6
1967,1967-10-01,50.9,33.7
1967,1967-11-01,51,33.9
1967,1967-12-01,51,34
1968,1968-01-01,50.8,34.1
1968,1968-02-01,50.7,34.2
1968,1968-03-01,50.6,34.3
1968,1968-04-01,50.4,34.4
1968,1968-05-01,50.4,34.5
1968,1968-06-01,50.3,34.7
1968,1968-07-01,50.2,34.9
1968,1968-08-01,49.8,35
1968,1968-09-01,49.5,35.1
1968,1968-10-01,51.7,35.3
1968,1968-11-01,52.2,35.4
1968,1968-12-01,51.7,35.6
1969,1969-01-01,51.5,35.7
1969,1969-02-01,51.5,35.8
1969,1969-03-01,51.5,36.1
1969,1969-04-01,51.3,36.3
1969,1969-05-01,51.2,36.4
1969,1969-06-01,51.2,36.6
1969,1969-07-01,51.1,36.8
1969,1969-08-01,50.8,36.9
1969,1969-09-01,50,37.1
1969,1969-10-01,52.4,37.3
1969,1969-11-01,52.9,37.5
1969,1969-12-01,52.8,37.7
1970,1970-01-01,52.7,37.9
1970,1970-02-01,52.6,38.1
1970,1970-03-01,52.5,38.3
1970,1970-04-01,52.5,38.5
1970,1970-05-01,52.4,38.6
1970,1970-06-01,52.2,38.8
1970,1970-07-01,52.2,38.9
1970,1970-08-01,52.1,39
1970,1970-09-01,51.9,39.2
1970,1970-10-01,54.7,39.4
1970,1970-11-01,55.5,39.6
